transaction_id,customer_id,account_id,timestamp,amount,currency,transaction_type,channel,counterparty_id,country,customer_segment
TXN00001,CUST4521,ACC_CUST4521,2026-07-05T01:02:30.073565,9416.24,USD,cash_deposit,atm,,CH,retail
TXN00002,CUST4521,ACC_CUST4521,2026-07-04T23:02:30.073565,9609.36,USD,cash_deposit,atm,,CH,retail
TXN00003,CUST4521,ACC_CUST4521,2026-07-06T04:02:30.073565,9542.46,USD,cash_deposit,branch,,CH,retail
TXN00004,CUST4521,ACC_CUST4521,2026-07-05T15:02:30.073565,9284.04,USD,cash_deposit,atm,,CH,retail
TXN00005,CUST4521,ACC_CUST4521,2026-07-05T18:02:30.073565,9460.34,USD,cash_deposit,atm,,CH,retail
TXN00006,CUST4521,ACC_CUST4521,2026-07-05T04:02:30.073565,9506.06,USD,cash_deposit,branch,,CH,retail
TXN00007,CUST4521,ACC_CUST4521,2026-07-04T11:02:30.073565,9280.95,USD,cash_deposit,atm,,CH,retail
TXN00008,CUST4521,ACC_CUST4521,2026-07-04T12:02:30.073565,9810.24,USD,cash_deposit,branch,,CH,retail
TXN00009,CUST4521,ACC_CUST4521,2026-07-05T16:02:30.073565,9222.39,USD,cash_deposit,branch,,CH,retail
TXN00010,CUST4521,ACC_CUST4521,2026-07-04T19:02:30.073565,9024.18,USD,cash_deposit,branch,,CH,retail
TXN00011,CUST1100,ACC_CUST1100,2026-07-08T11:02:30.073565,9410.3,USD,cash_deposit,branch,,US,high_net_worth
TXN00012,CUST1100,ACC_CUST1100,2026-07-08T02:02:30.073565,9489.43,USD,cash_deposit,branch,,US,high_net_worth
TXN00013,CUST1100,ACC_CUST1100,2026-07-06T19:02:30.073565,9649.5,USD,cash_deposit,branch,,US,high_net_worth
TXN00014,CUST1100,ACC_CUST1100,2026-07-06T14:02:30.073565,9770.64,USD,cash_deposit,branch,,US,high_net_worth
TXN00015,CUST1100,ACC_CUST1100,2026-07-06T23:02:30.073565,9796.07,USD,cash_deposit,atm,,US,high_net_worth
TXN00016,CUST1100,ACC_CUST1100,2026-07-06T07:02:30.073565,9551.83,USD,cash_deposit,branch,,US,high_net_worth
TXN00017,CUST1100,ACC_CUST1100,2026-07-08T11:02:30.073565,9132.01,USD,cash_deposit,atm,,US,high_net_worth
TXN00018,CUST1100,ACC_CUST1100,2026-07-08T20:02:30.073565,9978.01,USD,cash_deposit,atm,,US,high_net_worth
TXN00019,CUST1100,ACC_CUST1100,2026-07-08T09:02:30.073565,9606.53,USD,cash_deposit,atm,,US,high_net_worth
TXN00020,CUST1186,ACC_CUST1186,2026-07-04T21:02:30.073565,9736.22,USD,cash_deposit,atm,,SG,retail
TXN00021,CUST1186,ACC_CUST1186,2026-07-06T10:02:30.073565,9256.6,USD,cash_deposit,branch,,SG,retail
TXN00022,CUST1186,ACC_CUST1186,2026-07-05T12:02:30.073565,9758.16,USD,cash_deposit,atm,,SG,retail
TXN00023,CUST1186,ACC_CUST1186,2026-07-05T07:02:30.073565,9271.85,USD,cash_deposit,branch,,SG,retail
TXN00024,CUST1186,ACC_CUST1186,2026-07-05T13:02:30.073565,9232.15,USD,cash_deposit,atm,,SG,retail
TXN00025,CUST1186,ACC_CUST1186,2026-07-05T17:02:30.073565,9884.1,USD,cash_deposit,branch,,SG,retail
TXN00026,CUST1186,ACC_CUST1186,2026-07-04T18:02:30.073565,9149.32,USD,cash_deposit,atm,,SG,retail
TXN00027,CUST1186,ACC_CUST1186,2026-07-04T20:02:30.073565,9699.35,USD,cash_deposit,branch,,SG,retail
TXN00028,CUST1186,ACC_CUST1186,2026-07-06T06:02:30.073565,9403.52,USD,cash_deposit,atm,,SG,retail
TXN00029,CUST1186,ACC_CUST1186,2026-07-06T06:02:30.073565,9061.64,USD,cash_deposit,atm,,SG,retail
TXN00030,CUST1186,ACC_CUST1186,2026-07-06T02:02:30.073565,9895.79,USD,cash_deposit,branch,,SG,retail
TXN00031,CUST1186,ACC_CUST1186,2026-07-06T01:02:30.073565,9472.21,USD,cash_deposit,atm,,SG,retail
TXN00032,CUST1186,ACC_CUST1186,2026-07-05T15:02:30.073565,9745.94,USD,cash_deposit,atm,,SG,retail
TXN00033,CUST1186,ACC_CUST1186,2026-07-06T21:02:30.073565,9740.04,USD,cash_deposit,branch,,SG,retail
TXN00034,CUST1186,ACC_CUST1186,2026-07-06T15:02:30.073565,9217.23,USD,cash_deposit,atm,,SG,retail
TXN00035,CUST1220,ACC_CUST1220,2026-07-08T02:02:30.073565,9332.77,USD,cash_deposit,atm,,GB,high_net_worth
TXN00036,CUST1220,ACC_CUST1220,2026-07-06T22:02:30.073565,9832.1,USD,cash_deposit,branch,,GB,high_net_worth
TXN00037,CUST1220,ACC_CUST1220,2026-07-08T21:02:30.073565,9026.7,USD,cash_deposit,atm,,GB,high_net_worth
TXN00038,CUST1220,ACC_CUST1220,2026-07-06T04:02:30.073565,9083.11,USD,cash_deposit,atm,,GB,high_net_worth
TXN00039,CUST1220,ACC_CUST1220,2026-07-06T18:02:30.073565,9858.18,USD,cash_deposit,branch,,GB,high_net_worth
TXN00040,CUST1220,ACC_CUST1220,2026-07-06T07:02:30.073565,9257.55,USD,cash_deposit,atm,,GB,high_net_worth
TXN00041,CUST1220,ACC_CUST1220,2026-07-07T04:02:30.073565,9450.15,USD,cash_deposit,atm,,GB,high_net_worth
TXN00042,CUST1220,ACC_CUST1220,2026-07-08T01:02:30.073565,9275.47,USD,cash_deposit,atm,,GB,high_net_worth
TXN00043,CUST1035,ACC_CUST1035,2026-07-15T13:02:30.073565,9019.19,USD,cash_deposit,branch,,JP,retail
TXN00044,CUST1035,ACC_CUST1035,2026-07-14T21:02:30.073565,9221.98,USD,cash_deposit,branch,,JP,retail
TXN00045,CUST1035,ACC_CUST1035,2026-07-13T06:02:30.073565,9746.69,USD,cash_deposit,branch,,JP,retail
TXN00046,CUST1035,ACC_CUST1035,2026-07-14T02:02:30.073565,9830.84,USD,cash_deposit,branch,,JP,retail
TXN00047,CUST1035,ACC_CUST1035,2026-07-14T07:02:30.073565,9124.96,USD,cash_deposit,branch,,JP,retail
TXN00048,CUST1035,ACC_CUST1035,2026-07-14T04:02:30.073565,9460.38,USD,cash_deposit,atm,,JP,retail
TXN00049,CUST1035,ACC_CUST1035,2026-07-15T00:02:30.073565,9166.11,USD,cash_deposit,branch,,JP,retail
TXN00050,CUST1035,ACC_CUST1035,2026-07-13T21:02:30.073565,9955.07,USD,cash_deposit,branch,,JP,retail
TXN00051,CUST1035,ACC_CUST1035,2026-07-13T04:02:30.073565,9919.6,USD,cash_deposit,atm,,JP,retail
TXN00052,CUST1169,ACC_CUST1169,2026-07-09T10:02:30.073565,9586.18,USD,cash_deposit,branch,,FR,corporate
TXN00053,CUST1169,ACC_CUST1169,2026-07-09T14:02:30.073565,9690.22,USD,cash_deposit,atm,,FR,corporate
TXN00054,CUST1169,ACC_CUST1169,2026-07-09T16:02:30.073565,9788.26,USD,cash_deposit,branch,,FR,corporate
TXN00055,CUST1169,ACC_CUST1169,2026-07-10T21:02:30.073565,9527.42,USD,cash_deposit,atm,,FR,corporate
TXN00056,CUST1169,ACC_CUST1169,2026-07-09T09:02:30.073565,9500.9,USD,cash_deposit,atm,,FR,corporate
TXN00057,CUST1169,ACC_CUST1169,2026-07-09T02:02:30.073565,9841.08,USD,cash_deposit,atm,,FR,corporate
TXN00058,CUST1169,ACC_CUST1169,2026-07-09T14:02:30.073565,9429.19,USD,cash_deposit,atm,,FR,corporate
TXN00059,CUST1169,ACC_CUST1169,2026-07-11T11:02:30.073565,9700.24,USD,cash_deposit,atm,,FR,corporate
TXN00060,CUST1169,ACC_CUST1169,2026-07-09T23:02:30.073565,9726.46,USD,cash_deposit,atm,,FR,corporate
TXN00061,CUST1169,ACC_CUST1169,2026-07-11T21:02:30.073565,9766.9,USD,cash_deposit,atm,,FR,corporate
TXN00062,CUST1169,ACC_CUST1169,2026-07-11T08:02:30.073565,9817.48,USD,cash_deposit,atm,,FR,corporate
TXN00063,CUST1160,ACC_CUST1160,2026-07-11T12:02:30.073565,9276.14,USD,cash_deposit,atm,,JP,high_net_worth
TXN00064,CUST1160,ACC_CUST1160,2026-07-12T08:02:30.073565,9742.97,USD,cash_deposit,atm,,JP,high_net_worth
TXN00065,CUST1160,ACC_CUST1160,2026-07-12T20:02:30.073565,9028.41,USD,cash_deposit,atm,,JP,high_net_worth
TXN00066,CUST1160,ACC_CUST1160,2026-07-12T00:02:30.073565,9482.67,USD,cash_deposit,atm,,JP,high_net_worth
TXN00067,CUST1160,ACC_CUST1160,2026-07-12T10:02:30.073565,9336.94,USD,cash_deposit,atm,,JP,high_net_worth
TXN00068,CUST1160,ACC_CUST1160,2026-07-11T02:02:30.073565,9511.46,USD,cash_deposit,branch,,JP,high_net_worth
TXN00069,CUST1160,ACC_CUST1160,2026-07-11T11:02:30.073565,9238.94,USD,cash_deposit,atm,,JP,high_net_worth
TXN00070,CUST1160,ACC_CUST1160,2026-07-13T15:02:30.073565,9549.62,USD,cash_deposit,branch,,JP,high_net_worth
TXN00071,CUST1160,ACC_CUST1160,2026-07-13T13:02:30.073565,9639.44,USD,cash_deposit,atm,,JP,high_net_worth
TXN00072,CUST1160,ACC_CUST1160,2026-07-13T10:02:30.073565,9785.0,USD,cash_deposit,branch,,JP,high_net_worth
TXN00073,CUST1160,ACC_CUST1160,2026-07-12T14:02:30.073565,9219.38,USD,cash_deposit,branch,,JP,high_net_worth
TXN00074,CUST1063,ACC_CUST1063,2026-07-14T13:02:30.073565,9547.94,USD,cash_deposit,atm,,FR,corporate
